doc_id,matter_id,path,title,sensitivity,allowed_roles
0e252fc3-871e-4177-9c3c-f3d9b42b7317,matter_A,data/matters/matter_A/A01_Intake_Summary.pdf,Intake Summary — Initial Client Interview Notes,internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
1d476463-d91a-497b-b7aa-c0af4e75612b,matter_A,data/matters/matter_A/A02_Contract_Executed.pdf,Executed Supply & Installation Agreement (Summary Copy),internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
ab7904d7-cb9d-49a8-968e-8da80844fe1a,matter_A,data/matters/matter_A/A03_Email_Thread_Scheduling.pdf,"Email Thread — Scheduling, Missed Milestones, and Vendor Updates",internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
b00ada83-2625-4f3b-bda9-08ce91c84da3,matter_A,data/matters/matter_A/A04_Timeline_Memo.pdf,Timeline Memorandum — Key Dates and Events,internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
e32979bb-a0e5-45cb-9ffd-a3183ba63866,matter_A,data/matters/matter_A/A05_Discovery_Checklist.pdf,Discovery Checklist — Initial Requests and Preservation Items,internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
623f55b2-ee7e-4a57-82c0-a8d688dacd50,matter_A,data/matters/matter_A/A06_Demand_Letter_Draft.pdf,Draft Demand Letter — Notice of Breach and Demand to Cure,internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
d5d05b5c-32fc-4f9b-b7c0-c7a0c4f56ee1,matter_A,data/matters/matter_A/A07_Privileged_Strategy_Memo.pdf,Privileged Strategy Memorandum — Litigation Posture and Settlement Range,privileged,"[""partner"", ""admin""]"
3ded6ce2-2b07-440e-9982-63ec99308901,matter_A,data/matters/matter_A/A08_Filing_SOP.pdf,Firm SOP — Filing and Service Procedure (Litigation),public,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
4d122358-4b4e-49da-9df5-2d96c0e60c0c,matter_B,data/matters/matter_B/B01_Client_Questionnaire.pdf,Client Questionnaire — Henderson Estate Planning Intake,internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
82fea2b2-d8dd-4c71-b1ee-156bcaf548e9,matter_B,data/matters/matter_B/B02_Engagement_Letter_Template.pdf,Template — Estate Planning Engagement Letter,public,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
d957b453-fc84-4a2a-a51e-ba3faf7757ed,matter_B,data/matters/matter_B/B03_Conflicts_Check_SOP.pdf,Firm SOP — Conflicts Check Procedure,internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
ddfebd3d-6900-451f-94eb-319e2c0e4966,matter_B,data/matters/matter_B/B04_Trust_Draft_Shell.pdf,Draft Shell — Revocable Living Trust (Henderson),internal,"[""partner"", ""associate"", ""admin""]"
10ba910b-61f6-40a1-a863-82419879d084,matter_B,data/matters/matter_B/B05_Meeting_Notes_Privileged.pdf,Privileged Notes — Client Meeting and Sensitive Family Dynamics,privileged,"[""partner"", ""admin""]"
dc8f2b14-b4e6-43ed-9097-3032285f11bd,matter_B,data/matters/matter_B/B06_Will_Template.pdf,Template — Simple Will (Alabama),internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
a4516153-798c-493a-ab4d-41d19f1268c3,matter_B,data/matters/matter_B/B07_Power_of_Attorney_Template.pdf,Template — Durable Power of Attorney,internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
ea5f5179-7e40-4e5f-a36f-00f3e3fd8aab,matter_B,data/matters/matter_B/B08_Task_List.pdf,Task List — Estate Plan Completion Checklist,internal,"[""partner"", ""associate"", ""paralegal"", ""admin""]"
